Source Name	Characteristics [organism]	Characteristics[organism status]	Characteristics [organism part]	Characteristics [disease]	Comment [Sample_title]	Comment [ENA_SAMPLE]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment[FASTQ_URI]	FactorValue [organism part]	FactorValue [disease]
GSM2081423 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_1	SRS1325452	Brain	BD_BA11_1	P-GSE78936-1	ArrayExpress	GSM2081423 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081423	SRX1615661	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206740	SRR3206740	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/000/SRR3206740/SRR3206740_1.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081423 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_1	SRS1325452	Brain	BD_BA11_1	P-GSE78936-1	ArrayExpress	GSM2081423 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081423	SRX1615661	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206740	SRR3206740	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/000/SRR3206740/SRR3206740_2.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081424 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_2	SRS1325451	Brain	BD_BA11_2	P-GSE78936-1	ArrayExpress	GSM2081424 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081424	SRX1615662	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206741	SRR3206741	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/001/SRR3206741/SRR3206741_1.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081424 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_2	SRS1325451	Brain	BD_BA11_2	P-GSE78936-1	ArrayExpress	GSM2081424 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081424	SRX1615662	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206741	SRR3206741	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/001/SRR3206741/SRR3206741_2.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081425 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_3	SRS1325450	Brain	BD_BA11_3	P-GSE78936-1	ArrayExpress	GSM2081425 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081425	SRX1615663	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206742	SRR3206742	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/002/SRR3206742/SRR3206742_1.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081425 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_3	SRS1325450	Brain	BD_BA11_3	P-GSE78936-1	ArrayExpress	GSM2081425 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081425	SRX1615663	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206742	SRR3206742	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/002/SRR3206742/SRR3206742_2.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081426 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_4	SRS1325449	Brain	BD_BA11_4	P-GSE78936-1	ArrayExpress	GSM2081426 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081426	SRX1615664	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206743	SRR3206743	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/003/SRR3206743/SRR3206743_1.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081426 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_4	SRS1325449	Brain	BD_BA11_4	P-GSE78936-1	ArrayExpress	GSM2081426 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081426	SRX1615664	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206743	SRR3206743	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/003/SRR3206743/SRR3206743_2.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081427 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_5	SRS1325448	Brain	BD_BA11_5	P-GSE78936-1	ArrayExpress	GSM2081427 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081427	SRX1615665	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206744	SRR3206744	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/004/SRR3206744/SRR3206744_1.fastq.gz	Brodmann (1909) area 11	bipolar disorder
GSM2081427 1	Homo sapiens	post-mortem	Brodmann (1909) area 11	bipolar disorder	BD_BA11_5	SRS1325448	Brain	BD_BA11_5	P-GSE78936-1	ArrayExpress	GSM2081427 extract 1	Illumina HiSeq 2000	PAIRED	cDNA	transcriptomic	RNA-Seq	polyA RNA	GSM2081427	SRX1615665	Illumina HiSeq 2000 (Homo sapiens)	sequencing assay	P-GSE78936-2	ArrayExpress	SRR3206744	SRR3206744	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/004/SRR3206744/SRR3206744_2.fastq.gz	Brodmann (1909) area 11	bipolar disorder
