Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	34	6.513409961685824	7.964200614114423E-24	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	88	10943	9.479769669792091	1.4940840352078658E-20	1.4932876151464544E-20	1.4861198345937514E-20
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	36	6.896551724137931	2.7400721271435766E-22	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000169062, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000151461, ENSG00000137818, ENSG00000125351, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	111	10943	7.957580899284935	5.14037531052135E-19	2.568817619197103E-19	2.556487294624957E-19
GOTERM_BP_DIRECT	GO:0006413~translational initiation	37	7.088122605363985	2.129863657354924E-21	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000158417, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000067248, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000125977, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000104131, ENSG00000142676	446	125	10943	7.262618834080717	3.995624221197838E-18	1.3311647858468275E-18	1.3247751948747628E-18
GOTERM_BP_DIRECT	GO:0019083~viral transcription	33	6.321839080459771	5.68820610429411E-20	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	105	10943	7.711274823830879	1.0671074651655751E-16	2.666346611387864E-17	2.6535481476532024E-17
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	102	19.54022988505747	4.036476469503251E-18	ENSG00000144161, ENSG00000142937, ENSG00000117614, ENSG00000134597, ENSG00000075292, ENSG00000142541, ENSG00000138398, ENSG00000122257, ENSG00000138326, ENSG00000137996, ENSG00000116754, ENSG00000136942, ENSG00000132466, ENSG00000137073, ENSG00000144713, ENSG00000164104, ENSG00000164985, ENSG00000149273, ENSG00000069275, ENSG00000198000, ENSG00000060339, ENSG00000105939, ENSG00000196504, ENSG00000130254, ENSG00000130255, ENSG00000131981, ENSG00000062485, ENSG00000156482, ENSG00000089048, ENSG00000234545, ENSG00000105372, ENSG00000123200, ENSG00000096401, ENSG00000138709, ENSG00000158417, ENSG00000134744, ENSG00000125351, ENSG00000099995, ENSG00000174720, ENSG00000134186, ENSG00000174444, ENSG00000177954, ENSG00000071082, ENSG00000055044, ENSG00000153914, ENSG00000122406, ENSG00000145220, ENSG00000089157, ENSG00000163714, ENSG00000189403, ENSG00000165732, ENSG00000147403, ENSG00000187109, ENSG00000133226, ENSG00000080608, ENSG00000121766, ENSG00000146701, ENSG00000164134, ENSG00000143436, ENSG00000100941, ENSG00000126777, ENSG00000163565, ENSG00000132424, ENSG00000137710, ENSG00000115866, ENSG00000139218, ENSG00000067248, ENSG00000132541, ENSG00000117523, ENSG00000197958, ENSG00000088205, ENSG00000137154, ENSG00000125977, ENSG00000166441, ENSG00000231500, ENSG00000254726, ENSG00000164944, ENSG00000111615, ENSG00000182934, ENSG00000108848, ENSG00000112306, ENSG00000134419, ENSG00000126070, ENSG00000197756, ENSG00000145833, ENSG00000186468, ENSG00000119707, ENSG00000156313, ENSG00000198034, ENSG00000118181, ENSG00000067225, ENSG00000198157, ENSG00000133858, ENSG00000008988, ENSG00000115128, ENSG00000112651, ENSG00000119711, ENSG00000102738, ENSG00000114391, ENSG00000168807, ENSG00000185129, ENSG00000142676	451	1016	11028	2.454859716814777	2.329046922903376E-15	2.3330833993728795E-15	2.3330833993728795E-15
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	38	7.2796934865900385	7.256550507884829E-16	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000151729, ENSG00000143436, ENSG00000156482, ENSG00000186468, ENSG00000147454, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000112651, ENSG00000071082, ENSG00000197958, ENSG00000102738, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000160785	451	188	11028	4.9424918620559515	4.4841907964610073E-13	2.0971430967787156E-13	2.0971430967787156E-13
GOTERM_CC_DIRECT	GO:0005840~ribosome	34	6.513409961685824	9.280862003652074E-16	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000143436, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000112651, ENSG00000071082, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000087250, ENSG00000147403, ENSG00000142676	472	151	11628	5.547087215175665	3.703704010149522E-13	3.870119455522915E-13	3.8144342835010026E-13
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	38	7.2796934865900385	1.9030435536155144E-15	ENSG00000149273, ENSG00000111615, ENSG00000198000, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000058729, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000055044, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000165732, ENSG00000147403, ENSG00000142676	446	194	10943	4.805996024224492	3.5407232701345492E-12	7.136413326058179E-13	7.1021585420931E-13
GOTERM_BP_DIRECT	GO:0006412~translation	39	7.471264367816093	1.906937743996512E-14	ENSG00000149273, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000151729, ENSG00000143436, ENSG00000156482, ENSG00000186468, ENSG00000147454, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000115866, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000112651, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676, ENSG00000160785	446	219	10943	4.369402297438418	3.582378838018485E-11	5.9591804499890995E-12	5.930576383829152E-12
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	21	4.022988505747127	1.2690297753514098E-13	ENSG00000137818, ENSG00000145592, ENSG00000174444, ENSG00000177600, ENSG00000197756, ENSG00000136942, ENSG00000071082, ENSG00000130255, ENSG00000197958, ENSG00000142541, ENSG00000121766, ENSG00000144713, ENSG00000114391, ENSG00000166441, ENSG00000122406, ENSG00000156482, ENSG00000109475, ENSG00000172809, ENSG00000089157, ENSG00000147403, ENSG00000142676	472	61	11628	8.48110586273965	5.29166710450113E-11	2.6459270816076896E-11	2.6078561883471473E-11
