Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	34	6.513409961685824	7.964200614114423E-24	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	88	10943	9.479769669792091	1.4932876151464544E-20	1.4932876151464544E-20	1.4861198345937514E-20
GOTERM_BP_ALL	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	34	6.513409961685824	1.849699360455193E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	90	10943	9.26910812157449	8.736130079429877E-20	3.4131063743732886E-20	3.3654110492179553E-20
GOTERM_BP_FAT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	34	6.513409961685824	2.152226073131861E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	445	90	10864	9.222871410736579	9.992785657551231E-20	3.918624172371241E-20	3.873048961234466E-20
GOTERM_BP_ALL	GO:0045047~protein targeting to ER	35	6.704980842911877	2.1679693252424022E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	97	10943	8.853150570939855	1.0239319123119865E-19	3.4131063743732886E-20	3.3654110492179553E-20
GOTERM_BP_ALL	GO:0006613~cotranslational protein targeting to membrane	35	6.704980842911877	2.1679693252424022E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	97	10943	8.853150570939855	1.0239319123119865E-19	3.4131063743732886E-20	3.3654110492179553E-20
GOTERM_BP_FAT	GO:0006613~cotranslational protein targeting to membrane	35	6.704980842911877	2.5319561742652858E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	445	97	10864	8.808988764044944	1.1755872517113723E-19	3.918624172371241E-20	3.873048961234466E-20
GOTERM_BP_FAT	GO:0045047~protein targeting to ER	35	6.704980842911877	2.5319561742652858E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	445	97	10864	8.808988764044944	1.1755872517113723E-19	3.918624172371241E-20	3.873048961234466E-20
GOTERM_BP_ALL	GO:0072599~establishment of protein localization to endoplasmic reticulum	35	6.704980842911877	9.89476892940834E-23	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	446	101	10943	8.502530746348178	4.67329936535956E-19	1.16832484133989E-19	1.151998472606366E-19
GOTERM_BP_FAT	GO:0072599~establishment of protein localization to endoplasmic reticulum	35	6.704980842911877	1.154713463367701E-22	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	445	101	10864	8.46011792190455	5.361334610416236E-19	1.340333652604059E-19	1.324745020848595E-19
GOTERM_BP_5	GO:0072599~establishment of protein localization to endoplasmic reticulum	35	6.704980842911877	1.3732152813331155E-22	ENSG00000149273, ENSG00000182934, ENSG00000145592, ENSG00000142937, ENSG00000134419, ENSG00000112306, ENSG00000197756, ENSG00000177600, ENSG00000008952, ENSG00000130255, ENSG00000142541, ENSG00000156482, ENSG00000186468, ENSG00000109475, ENSG00000172809, ENSG00000105372, ENSG00000137818, ENSG00000198034, ENSG00000118181, ENSG00000138326, ENSG00000008988, ENSG00000174444, ENSG00000136942, ENSG00000177954, ENSG00000071082, ENSG00000197958, ENSG00000144713, ENSG00000114391, ENSG00000137154, ENSG00000166441, ENSG00000231500, ENSG00000122406, ENSG00000089157, ENSG00000147403, ENSG00000142676	438	101	10628	8.40860798408608	3.710427690162078E-19	3.710427690162078E-19	3.6774705234100835E-19
